hour,price
1456,444.39
1457,522.78
1458,767.25
1459,644.1
1460,484.39
1461,442.06
1462,421.15
1463,401.66
1464,424.4
1465,408.26
1466,396.48
1467,401.35
1468,403.69
1469,414.45
1470,431.2
1471,435.56
1472,449.37
1473,515.55
1474,512.91
1475,467.74
1476,437.69
1477,422.37
1478,414.96
1479,410.19
1480,415.87
1481,508.75
1482,605.99
1483,457.89
1484,416.17
1485,408.05
1486,396.48
1487,390.6
1488,410.6
1489,407.04
1490,403.59
1491,402.36
1492,401.55
1493,401.86
1494,405.72
1495,406.84
1496,422.91
1497,423.62
1498,437.05
1499,434.1
1500,424.23
1501,414.67
1502,409.08
1503,401.75
1504,407.35
1505,451.19
1506,484.95
1507,461.15
1508,416.6
1509,403.28
1510,393.62
1511,389.04
1512,385.48
1513,380.7
1514,381.11
1515,384.46
1516,388.02
1517,393.41
1518,455.86
1519,548.62
1520,651.55
1521,637.01
1522,569.78
1523,559.2
1524,498.58
1525,489.33
1526,543.44
1527,547
1528,550.86
1529,708.61
1530,845.82
1531,830.06
1532,606.09
1533,506.52
1534,444.37
1535,410.91
1536,395.77
1537,385.61
1538,379.82
1539,373.62
1540,380.12
1541,401.15
1542,464.95
1543,591.82
1544,662.22
1545,660.49
1546,642.82
1547,559.01
1548,532.19
1549,508.63
1550,497.55
1551,495.32
1552,490.04
1553,548.45
1554,601.78
1555,560.84
1556,467.18
1557,437.21
1558,412.22
1559,392.11
1560,388.76
1561,383.97
1562,378.26
1563,376.32
1564,382.74
1565,406.6
1566,460.84
1567,555.76
1568,614.79
1569,597.05
1570,562.59
1571,558.51
1572,512.53
1573,487.55
1574,474.2
1575,476.64
1576,486.53
1577,547.5
1578,621.42
1579,580.13
1580,469.41
1581,430.87
1582,405.68
1583,380.19
1584,382.41
1585,367.26
1586,365.63
1587,364.6
1588,369.31
1589,378.31
1590,414.85
1591,472.76
1592,480.54
1593,459.56
1594,433.88
1595,424.77
1596,418.43
1597,412.8
1598,404.31
1599,403.9
1600,414.54
1601,439.92
1602,487.7
1603,452.4
1604,397.04
1605,386.09
1606,373.71
1607,363.99
1608,365.61
1609,361.11
1610,357.63
1611,357.63
1612,363.36
1613,372.04
1614,389.83
1615,429.08
1616,449.01
1617,428.67
1618,415.89
1619,406.9
1620,393.61
1621,405.98
1622,412.72
1623,417.43
1624,424.78
1625,460.25
1626,552.04
1627,472.41
1628,431.22
1629,423.35
1630,406.39
1631,387.38
1632,385.05
1633,374.47
1634,370.41
1635,366.34
1636,368.68
1637,371.12
1638,373.26
1639,378.64
1640,381.79
1641,385.15
1642,382.81
1643,380.07
1644,376.41
1645,371.93
1646,369.6
1647,369.09
1648,373.66
1649,393.08
1650,419.81
1651,419.61
1652,390.64
1653,373.15
1654,369.8
1655,366.55
1656,369.49
1657,365.02
1658,363.2
1659,363.4
1660,362.49
1661,365.84
1662,368.99
1663,366.95
1664,369.09
1665,371.12
1666,374.37
1667,374.47
1668,370.81
1669,367.87
1670,360.76
1671,360.56
1672,365.84
1673,375.99
1674,380.77
1675,386.56
1676,374.77
1677,366.24
1678,362.69
1679,354.97
1680,348.47
1681,336.18
1682,345.42
1683,355.58
1684,364.01
1685,387.98
1686,422.41
1687,501.43
1688,512.7
1689,507.72
1690,486.6
1691,469.53
1692,457.04
1693,431.45
1694,423.02
1695,423.22
1696,431.55
1697,476.95
1698,510.26
1699,507.22
1700,429.01
1701,403.31
1702,381.88
1703,371.52
1704,379.72
1705,375.55
1706,365.69
1707,362.13
1708,374.03
1709,389.28
1710,412.76
1711,472.34
1712,483.01
1713,478.54
1714,477.32
1715,453.32
1716,465.73
1717,447.02
1718,446.31
1719,430.65
1720,425.47
1721,468.07
1722,517.68
1723,510.26
1724,446.41
1725,426.99
1726,401.17
1727,382.87
1728,376.06
1729,366.31
1730,366.11
1731,366.51
1732,376.87
1733,397.48
1734,459.61
1735,615.25
1736,659.72
1737,629.37
1738,588.65
1739,546.52
1740,503.37
1741,491.9
1742,477.08
1743,483.88
1744,484.99
1745,544.49
1746,637.69
1747,589.67
1748,466.52
1749,415.55
1750,391.69
1751,383.16
1752,385.77
1753,381.71
1754,381.4
1755,386.58
1756,391.46
1757,410.85
1758,422.33
1759,538.9
1760,746.15
1761,722.8
1762,588.96
1763,541.95
1764,510.97
1765,467.31
1766,446.09
1767,446.7
1768,429.23
1769,428.11
1770,445.48
1771,440.4
1772,418.87
1773,414.81
1774,397.85
1775,386.68
1776,381.71
1777,379.49
1778,378.79
1779,379.09
1780,384.54
1781,409.67
1782,427.03
1783,474.37
1784,494.96
1785,472.04
1786,450.95
1787,440.15
1788,428.85
1789,423.09
1790,421.98
1791,415.83
1792,413.3
1793,426.63
1794,443.68
1795,432.48
1796,415.22
1797,399.07
1798,383.93
1799,382.12
1800,389.24
1801,386.31
1802,384.3
1803,382.08
1804,379.86
1805,382.28
1806,382.78
1807,384.5
1808,387.32
1809,390.55
1810,391.76
1811,385.71
1812,381.37
1813,378.95
1814,375.42
1815,370.98
1816,371.49
1817,382.58
1818,398.11
1819,392.87
1820,381.07
1821,378.24
1822,379.55
1823,376.02
1824,380.52
1825,377.4
1826,376.08
1827,376.69
1828,376.59
1829,374.37
1830,361.67
1831,368.52
1832,373.26
1833,380.42
1834,376.89
1835,372.76
1836,365.6
1837,359.25
1838,355.92
1839,354.41
1840,365.7
1841,377.9
1842,407.03
1843,413.88
1844,400.98
1845,383.64
1846,383.64
1847,371.75
1848,343.73
1849,333.14
1850,336.17
1851,345.44
1852,367.11
1853,397.86
1854,439.69
1855,526.28
1856,605.71
1857,525.47
1858,482.93
1859,460.86
1860,435.46
1861,425.78
1862,418.22
1863,414.49
1864,414.99
1865,426.59
1866,451.48
1867,423.16
1868,410.76
1869,403.2
1870,398.36
1871,376.59
1872,383.41
1873,375.95
1874,373.73
1875,368.99
1876,368.99
1877,388.55
1878,420.62
1879,503.72
1880,502.71
1881,437.86
1882,435.14
1883,429.19
1884,424.45
1885,420.72
1886,417.49
1887,415.68
1888,416.38
1889,463.78
1890,574
1891,638.95
1892,503.31
1893,463.48
1894,422.13
1895,399.34
1896,397.26
1897,396.05
1898,395.15
1899,392.53
1900,396.15
1901,406.62
1902,429.68
1903,503.77
1904,507.6
1905,480.82
1906,452.33
1907,426.86
1908,422.63
1909,415.28
1910,413.77
1911,415.28
1912,416.19
1913,429.48
1914,462.09
1915,437.73
1916,421.22
1917,415.38
1918,392.43
1919,373.1
1920,366.23
1921,358.87
1922,360.79
1923,363.61
1924,382.16
1925,389.12
1926,401.32
1927,428.04
1928,435.61
1929,426.73
1930,420.99
1931,415.94
1932,412.11
1933,409.59
1934,415.64
1935,426.83
1936,426.83
1937,441.05
1938,493.59
1939,455.07
1940,438.63
1941,436.31
1942,423.51
1943,417.76
1944,418.2
1945,415.47
1946,413.75
1947,409.11
1948,409.71
1949,432.24
1950,525.91
1951,663.02
1952,711.52
1953,664.03
1954,610.28
1955,573.09
1956,485.59
1957,445.78
1958,433.96
1959,429.31
1960,429.21
1961,438.81
1962,457.81
1963,441.24
1964,423.35
1965,416.18
1966,409.01
1967,400.22
1968,410.77
1969,398.62
1970,388.41
1971,382.6
1972,389.33
1973,391.48
1974,396.68
1975,410.16
1976,424.45
1977,423.63
1978,415.16
1979,409.85
1980,405.46
1981,400.46
1982,400.36
1983,402.5
1984,413.93
1985,433.02
1986,450.48
1987,447.11
1988,432.1
1989,428.12
1990,411.28
1991,388.62
1992,391.99
1993,386.8
1994,
1995,385.18
1996,379.38
1997,381.72
1998,386.6
1999,393.52
2000,403.39
2001,416.42
2002,417.44
2003,415.4
2004,409.91
2005,403.6
2006,398
2007,393.01
2008,389.25
2009,396.47
2010,416.42
2011,442.78
2012,438.3
2013,427.41
2014,418.35
2015,402.37
2016,410.72
2017,402.27
2018,396.07
2019,386.8
2020,400.34
2021,423.85
2022,466.99
2023,525.1
2024,649.36
2025,687.82
2026,589.52
2027,558.48
2028,528.87
2029,514.32
2030,487.65
2031,461.4
2032,448.07
2033,458.85
2034,504.24
2035,544.23
2036,489.08
2037,461.4
2038,444.1
2039,428.43
2040,431.36
2041,408.47
2042,404.4
2043,402.16
2044,405.52
2045,425.56
2046,464.12
2047,558.73
2048,686.51
2049,617.43
2050,569.51
2051,532.89
2052,483.55
2053,457.4
2054,449.47
2055,447.53
2056,446.21
2057,449.57
2058,452.11
2059,462.79
2060,450.08
2061,435.43
2062,418.13
2063,404.8
2064,423.29
2065,423.39
2066,422.47
2067,424.82
2068,425.53
2069,443.91
2070,465.66
2071,550.8
2072,687.41
2073,610.94
2074,561.42
2075,497.92
2076,472.29
2077,460.75
2078,459.43
2079,449.93
2080,443.7
2081,449.22
2082,458.71
2083,479.74
2084,465.14
2085,442.58
2086,416.65
2087,402.87
2088,403.94
2089,400.75
2090,394.89
2091,400.03
2092,402.19
2093,406.92
2094,409.18
2095,435.5
2096,448.25
2097,445.58
2098,430.36
2099,420.8
2100,416.59
2101,410.42
2102,406.72
2103,407.44
2104,409.7
2105,425.02
2106,433.04
2107,448.35
2108,438.28
2109,436.74
2110,432.62
2111,420.18
2112,412.51
2113,408.07
2114,404.76
2115,405.38
2116,406.52
2117,412.1
2118,412.92
2119,428.63
2120,449.81
2121,446.09
2122,440.1
2123,431.01
2124,422.84
2125,416.75
2126,414.99
2127,414.47
2128,416.75
2129,424.08
2130,432.14
2131,441.34
2132,438.14
2133,436.38
2134,422.33
2135,408.17
2136,413.13
2137,414.06
2138,412.72
2139,413.34
2140,414.37
2141,412.51
2142,410.03
2143,411.06
